Lucknow,Mumbai,Cab,420,3500,Least expensive
Chennai,Ahmedabad,Flight,480,3000,Express service
Hyderabad,Jaipur,Bus,120,500,Scenic journey
Pune,Kolkata,Flight,240,1000,Popular route
Hyderabad,Jaipur,Cab,180,3500,Least expensive
Lucknow,Kolkata,Cab,120,500,Least expensive
Ahmedabad,Hyderabad,Cab,300,4000,Direct route
Hyderabad,Bangalore,Flight,240,1000,Scenic journey
Delhi,Jaipur,Cab,540,3500,Premium option
Mumbai,Chennai,Cab,240,500,Popular route
Mumbai,Jaipur,Flight,480,1500,Popular route
Kolkata,Hyderabad,Flight,420,1000,Connecting service
Kolkata,Ahmedabad,Train,360,3500,Connecting service
Mumbai,Ahmedabad,Cab,540,4000,Direct route
Bangalore,Kolkata,Flight,480,2500,Express service
Hyderabad,Lucknow,Cab,120,1000,Direct route
Bangalore,Lucknow,Train,300,4000,Express service
Hyderabad,Kolkata,Train,240,2500,Least expensive
Delhi,Kolkata,Bus,480,3000,Least expensive
Kolkata,Pune,Train,120,1000,Least expensive
Kolkata,Jaipur,Flight,120,500,Express service
Jaipur,Delhi,Bus,600,3000,Scenic journey
Jaipur,Chennai,Train,360,3500,Least expensive
Delhi,Chennai,Flight,120,1500,Connecting service
Ahmedabad,Delhi,Bus,180,3000,Scenic journey
Kolkata,Mumbai,Flight,600,3500,Express service
Lucknow,Mumbai,Flight,600,3000,Direct route
Delhi,Mumbai,Cab,420,1500,Connecting service
Delhi,Lucknow,Train,360,3000,Express service
Chennai,Lucknow,Bus,600,500,Scenic journey
Bangalore,Chennai,Train,360,1000,Popular route
Pune,Kolkata,Cab,240,1000,Direct route
Ahmedabad,Jaipur,Bus,240,1000,Popular route
Bangalore,Ahmedabad,Flight,180,3000,Express service
Bangalore,Mumbai,Train,360,2500,Premium option
Jaipur,Pune,Flight,540,3000,Direct route
Kolkata,Jaipur,Train,600,3500,Premium option
Lucknow,Pune,Cab,360,500,Connecting service
Chennai,Pune,Bus,120,2000,Popular route
Ahmedabad,Chennai,Cab,540,1000,Premium option
Delhi,Hyderabad,Train,300,3500,Connecting service
Pune,Delhi,Cab,240,2500,Popular route
Lucknow,Hyderabad,Bus,240,3000,Popular route
Pune,Hyderabad,Cab,240,4000,Least expensive
Hyderabad,Pune,Flight,480,2500,Premium option
Delhi,Jaipur,Flight,360,4000,Connecting service
Pune,Chennai,Cab,360,1500,Popular route
Ahmedabad,Chennai,Train,480,1000,Least expensive
Hyderabad,Ahmedabad,Bus,240,3000,Scenic journey
Delhi,Mumbai,Bus,120,1000,Scenic journey
